Date,Return,Price,Equity_Rtn,Mortgage_Rtn,Equity_Price,Mortgage_Price
11/1/1992,582.24,74.02,1281.61,225.79,197.97,20.01
12/1/1992,593.49,74.78,1304.73,226.99,200.54,19.57
1/1/1993,631.29,79.11,1388.46,243.38,212.17,20.84
2/1/1993,661.04,82.37,1463.11,247.05,222.4,21.11
3/1/1993,706.94,87.58,1587.08,251.92,240.26,21.18
4/1/1993,675.78,83.26,1517.18,236.28,228.37,19.73
5/1/1993,667.53,81.78,1493.13,237.31,223.72,19.74
6/1/1993,687.12,83.66,1541.53,241.09,229.93,19.65
7/1/1993,698.72,84.65,1568.45,245.92,232.7,19.92
8/1/1993,715.48,86.18,1607.18,249.14,237.28,20.11
9/1/1993,748.12,89.73,1685.64,259.51,247.98,20.72
10/1/1993,738.7,88.01,1653.5,262.46,241.95,20.56
11/1/1993,703.76,83.41,1563.83,258.06,227.81,20.14
12/1/1993,703.57,82.69,1561.17,260.01,226.51,19.49
1/1/1994,724.61,84.69,1606.61,271.49,231.68,20.25
2/1/1994,749.56,87.18,1676.38,261.79,240.72,19.5
3/1/1994,719.38,83.23,1614.31,241.46,231.03,17.49
4/1/1994,731.05,84.04,1641.72,241.98,233.38,17.4
5/1/1994,745.91,85.08,1678.26,239.13,236.93,17.11
6/1/1994,729.72,82.93,1644.03,232.09,231.37,16.4
7/1/1994,727.87,82.16,1635.99,237.31,228.61,16.63
8/1/1994,731.91,81.97,1640.88,243.3,227.87,16.75
9/1/1994,717.04,79.99,1610.41,230.89,222.88,15.71
10/1/1994,690.44,76.46,1554.55,218.49,213.49,14.73
11/1/1994,668,73.33,1501.09,205.71,204.46,13.78
12/1/1994,709.24,77.39,1610.67,196.82,218.55,12.9
1/1/1995,698.71,75.55,1575.5,210.85,211.71,13.69
2/1/1995,721.39,77.48,1614.41,237.31,215.57,15.4
3/1/1995,717.09,76.62,1607.94,238.49,213.91,15.06
4/1/1995,718.71,76.15,1607.53,243.7,211.97,15.25
5/1/1995,751.07,78.94,1675.84,260.47,219.37,16.22
6/1/1995,764.39,80.05,1702.51,265.45,222.06,16.41
7/1/1995,776.34,80.63,1731.85,268.06,223.84,16.45
8/1/1995,787.89,81.22,1752.64,288.88,224.93,17.72
9/1/1995,802.31,82.4,1782.69,293.39,228.03,17.76
10/1/1995,787.55,80.23,1744.5,299.64,221.24,18.03
11/1/1995,795.45,80.44,1760.44,306.72,221.68,18.45
12/1/1995,839.09,84.45,1856.57,321.65,232.88,18.94
1/1/1996,855.16,85.8,1887.12,339.61,235.9,19.98
2/1/1996,861.75,85.94,1909.21,326.02,237.36,19.18
3/1/1996,860.51,85.44,1898.79,342.41,235.38,19.52
4/1/1996,863.31,85,1908.42,336.66,234.43,19.07
5/1/1996,886.74,86.67,1957.73,358.64,238.8,20.31
6/1/1996,898.96,87.54,1983.25,372.5,241.19,20.8
7/1/1996,906.7,87.57,1998.22,379.96,240.87,21.05
8/1/1996,943.59,90.48,2076.88,400.17,248.66,22.16
9/1/1996,960,91.8,2113.03,412.35,252.4,22.58
10/1/1996,990.8,94.11,2175.76,439.27,258.05,23.86
11/1/1996,1035.88,97.57,2274.89,457.98,267.53,24.87
12/1/1996,1139.1,106.84,2511.32,485.25,294.24,25.98
1/1/1997,1151.78,107.4,2539.38,506.91,295.74,26.95
2/1/1997,1152.77,106.82,2534.19,521.67,293.34,27.73
3/1/1997,1142.11,105.48,2528.8,472.1,291.89,24.74
4/1/1997,1116.07,102.42,2459.21,493.35,282,25.66
5/1/1997,1151.79,105.03,2531.51,526.36,288.54,27.37
6/1/1997,1207.07,109.67,2654.55,545.55,301.58,28.02
7/1/1997,1243.2,112.31,2736.55,561.91,309.06,28.66
8/1/1997,1240.7,111.44,2730,556.28,306.6,28.37
9/1/1997,1339.81,120.16,2968.26,552.7,332.9,28.05
10/1/1997,1305.67,116.36,2888.03,535,321.8,26.93
11/1/1997,1327.8,117.66,2950.45,525.5,326.96,26.44
12/1/1997,1353.94,119.5,3020.11,503.8,333.47,25.05
1/1/1998,1347.61,118.29,3004.15,525.95,329.88,25.92
2/1/1998,1324.74,115.69,2953.03,514.71,322.69,25.36
3/1/1998,1346.59,117.25,3006.02,518.31,327.61,25.27
4/1/1998,1303.3,112.67,2908.1,509.52,314.71,24.61
5/1/1998,1292.25,111.08,2887.73,494.99,310.8,23.89
6/1/1998,1284.19,110.1,2868.18,500.07,308,23.92
7/1/1998,1200.01,102.21,2681.98,486.76,286.12,23.07
8/1/1998,1075.84,91.01,2428.88,386.21,257.43,18.3
