FTSE NAREIT US Real Estate Index Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Index Values and Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1971 - March 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Returns and dividend yield in percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All REITs,,,,,,,Composite,,,,,,,Real Estate 50,,,,,,,All Equity REITs,,,,,,,Equity REITs,,,,,,,Mortgage REITs,,,,,
,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income ,Dividend
Date,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-74,8.9,57.45,7.1,43.9,1.79,14.15,,8.9,57.45,7.1,43.9,1.79,14.15,,,,,,,,,4.29,77.01,2.74,60.86,1.56,11.9,,4.29,77.01,2.74,60.86,1.56,11.9,,14.34,50,12.76,36.83,1.58,17.87
Nov-74,-10.48,51.43,-10.69,39.21,0.21,15.41,,-10.48,51.43,-10.69,39.21,0.21,15.41,,,,,,,,,-5.35,72.89,-5.41,57.56,0.06,12.59,,-5.35,72.89,-5.41,57.56,0.06,12.59,,-12.55,43.72,-12.92,32.08,0.36,19.36
Dec-74,-9.1,46.75,-10.63,35.04,1.53,16.46,,-9.1,46.75,-10.63,35.04,1.53,16.46,,,,,,,,,-1.61,71.72,-2.93,55.88,1.32,12.91,,-1.61,71.72,-2.93,55.88,1.32,12.91,,-10.59,39.09,-13.21,27.84,2.62,20.9
Jan-75,30.81,61.16,29.04,45.22,1.78,12.22,,30.81,61.16,29.04,45.22,1.78,12.22,,,,,,,,,14.08,81.82,12.55,62.89,1.53,11.17,,14.08,81.82,12.55,62.89,1.53,11.17,,38.4,54.1,37.21,38.2,1.19,13.81
Feb-75,-4.61,58.34,-4.89,43.01,0.28,12.76,,-4.61,58.34,-4.89,43.01,0.28,12.76,,,,,,,,,2.43,83.81,2.28,64.33,0.15,10.81,,2.43,83.81,2.28,64.33,0.15,10.81,,-8.48,49.51,-8.7,34.87,0.22,14.84
Mar-75,8.95,63.56,7.64,46.29,1.3,11.69,,8.95,63.56,7.64,46.29,1.3,11.69,,,,,,,,,2.82,86.17,1.78,65.47,1.04,10.68,,2.82,86.17,1.78,65.47,1.04,10.68,,12.28,55.59,10.09,38.39,2.19,12.84
Apr-75,-5.42,60.11,-6.52,43.28,1.1,12.13,,-5.42,60.11,-6.52,43.28,1.1,12.13,,,,,,,,,2.75,88.54,1.79,66.65,0.96,10.5,,2.75,88.54,1.79,66.65,0.96,10.5,,-6.35,52.06,-7.1,35.66,0.75,13.75
May-75,3.4,62.16,3.09,44.61,0.31,11.65,,3.4,62.16,3.09,44.61,0.31,11.65,,,,,,,,,-1.37,87.33,-1.56,65.61,0.19,10.57,,-1.37,87.33,-1.56,65.61,0.19,10.57,,0.08,52.11,-0.23,35.58,0.32,13.84
Jun-75,6.38,66.13,5.06,46.87,1.33,11.24,,6.38,66.13,5.06,46.87,1.33,11.24,,,,,,,,,6.25,92.78,5.07,68.93,1.18,10.14,,6.25,92.78,5.07,68.93,1.18,10.14,,6.91,55.71,4.77,37.28,2.14,13.31
Jul-75,0.23,66.28,-1.03,46.39,1.26,11.6,,0.23,66.28,-1.03,46.39,1.26,11.6,,,,,,,,,-1.53,91.37,-2.76,67.03,1.23,10.47,,-1.53,91.37,-2.76,67.03,1.23,10.47,,2.26,56.97,1.46,37.82,0.8,13.1
