Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price
28126,102.03,86.58880919,-2.21,4.129628812
28157,99.82,87.31281286,-1.4,0.724003669
28185,98.42,87.00558404,0.02,-0.307228817
28216,98.44,87.70712529,-2.32,0.70154125
28246,96.12,87.87678367,4.36,0.169658383
28277,100.48,90.76871609,-1.63,2.891932416
28307,98.85,90.35771888,-2.08,-0.410997206
28338,96.77,90.39599279,-0.24,0.038273903
28369,96.53,89.96354378,-4.19,-0.432449006
28399,92.34,89.38913132,2.49,-0.574412459
28430,94.83,93.23774274,0.27,3.848611416
28460,95.1,93.98003162,-5.85,0.742288886
28491,89.25,91.22637591,-2.21,-2.753655714
28522,87.04,92.23307922,2.17,1.00670331
28550,89.21,96.13703909,7.62,3.903959874
28581,96.83,98.25229401,0.41,2.115254914
28611,97.24,95.14395113,-1.71,-3.108342881
28642,95.53,94.00681945,5.15,-1.137131675
28672,100.68,95.92366391,2.61,1.916844454
28703,103.29,99.76640866,-0.75,3.842744758
28734,102.54,98.9482855,-9.39,-0.818123161
28764,93.15,90.70016738,1.55,-8.248118122
28795,94.7,93.44459844,1.41,2.744431061
28825,96.11,96.47909964,3.82,3.034501201
28856,99.93,98.97013954,-3.65,2.491039894
28887,96.28,100.547249,5.31,1.577109462
28915,101.59,107.3057706,0.17,6.758521639
28946,101.76,106.8814727,-2.68,-0.424297962
28976,99.08,105.6600625,3.83,-1.221410153
29007,102.91,114.8802096,0.9,9.220147047
29037,103.81,118.454082,5.51,3.573872428
29068,109.32,132.9582038,0,14.5041218
29099,109.32,128.7453554,-7.5,-4.212848363
29129,101.82,114.084425,4.34,-14.66093039
29160,106.16,117.800023,1.78,3.715597956
29190,107.94,121.0679709,6.22,3.267947924
29221,114.16,128.4953121,-0.5,7.427341199
29252,113.66,129.5321923,-11.57,1.0368802
29281,102.09,113.0554931,4.2,-16.47669926
29312,106.29,111.7815111,4.95,-1.27398199
29342,111.24,103.7685699,3,-8.012941144
29373,114.24,110.3597978,7.43,6.591227852
29403,121.67,117.680661,0.71,7.320863191
29434,122.38,120.7889314,3.08,3.108270466
29465,125.46,118.0840638,2.01,-2.70486761
29495,127.47,129.0842813,13.05,11.00021744
29526,140.52,126.1956827,-4.76,-2.888598607
29556,135.76,123.4234279,-6.21,-2.772254768
29587,129.55,124.6177583,1.72,1.194330374
29618,131.27,125.0393001,4.73,0.421541874
29646,136,127.6379987,-3.19,2.598698527
29677,132.81,128.3823325,-0.22,0.744333881
29707,132.59,127.489537,-1.38,-0.892795518
29738,131.21,129.8047723,-0.29,2.315235235
29768,130.92,127.5175369,-8.13,-2.287235374
29799,122.79,122.0403227,-6.61,-5.477214218
29830,116.18,113.4256496,5.71,-8.614673094
29860,121.89,117.9694501,4.46,4.543800557
29891,126.35,121.8754016,-3.8,3.905951506
29921,122.55,120.9185327,-2.15,-0.956868885
29952,120.4,119.0079448,-7.29,-1.910587908
29983,113.11,116.0932281,-1.15,-2.91471676
30011,111.96,113.7800424,4.48,-2.313185664
30042,116.44,115.510116,-4.56,1.73007356
30072,111.88,115.1792904,-2.27,-0.330825593
30103,109.61,110.264759,-2.52,-4.914531353
30133,107.09,109.250376,12.42,-1.014383077
30164,119.51,112.6789948,0.91,3.42861886
30195,120.42,117.1949686,13.3,4.515973769
30225,133.72,127.6221405,4.81,10.42717188
30256,138.53,132.0764473,2.11,4.454306871
30286,140.64,134.808123,4.66,2.731675613
30317,145.3,138.1702212,2.76,3.362098275
30348,148.06,136.61689,4.9,-1.553331182
30376,152.96,148.9121987,11.47,12.29530862
30407,164.43,156.893849,-2.04,7.981650366
30437,162.39,158.4868827,5.25,1.59303362
30468,167.64,160.5226221,-5.08,2.035739442
30498,162.56,155.2485098,1.84,-5.27411233
30529,164.4,154.1690947,1.67,-1.079415099
30560,166.07,151.8469833,-2.52,-2.3221114
30590,163.55,154.8780536,2.85,3.031070324
30621,166.4,157.7240179,-1.47,2.845964307
30651,164.93,163.1271653,-1.52,5.403147422
30682,163.41,167.3750318,-6.35,4.247866457
30713,157.06,167.7563966,2.12,0.381364847
30742,159.18,167.3709734,0.87,-0.385423173
30773,160.05,168.0506917,-9.5,0.679718294
30803,150.55,164.0059722,2.63,-4.044719504
30834,153.18,163.5060081,-2.52,-0.49996417
30864,150.66,158.9754621,16.02,-4.530545957
30895,166.68,164.7401607,-0.58,5.764698576
30926,166.1,170.7571817,-0.01,6.017021028
30956,166.09,172.5756919,-2.51,1.818510197
30987,163.58,175.4924555,3.66,2.916763551
31017,167.24,178.2988399,12.39,2.806384443
31048,179.63,183.7784712,1.55,5.479631324
31079,181.18,187.7012271,-0.52,3.922755879
31107,180.66,189.4648665,-0.83,1.763639416
31138,179.83,189.7114657,9.72,0.246599134
31168,189.55,195.2369942,2.3,5.52552856
31199,191.85,197.9129554,-0.93,2.675961195
31229,190.92,200.1002243,-2.29,2.18726887
31260,188.63,194.4206604,-6.55,-5.679563926
31291,182.08,189.2839987,7.74,-5.136661699
31321,189.82,192.9956548,12.35,3.711656112
31352,202.17,191.9666434,9.11,-1.029011337
31382,211.28,195.4505746,0.5,3.4839312
31413,211.78,202.6040922,15.14,7.153517613
31444,226.92,205.6109376,11.98,3.006845307
31472,238.9,217.9374572,-3.38,12.32651963
31503,235.52,216.2819393,11.83,-1.65551787
31533,247.35,211.3579899,3.49,-4.923949464
31564,250.84,220.7481576,-14.72,9.390167754
31594,236.12,218.3026091,16.81,-2.44554853
31625,252.93,224.3701651,-21.61,6.067555983
31656,231.32,220.8569981,12.66,-3.513166954
31686,243.98,224.4558298,5.24,3.598831656
31717,249.22,222.0925359,-7.05,-2.36329386
31747,242.17,216.0978064,31.91,-5.994729502
31778,274.08,227.0442278,10.12,10.94642142
31809,284.2,233.6692837,7.5,6.62505589
31837,291.7,232.6803867,-3.34,-0.988897054
31868,288.36,228.7442652,1.74,-3.936121473
31898,290.1,225.9842897,13.9,-2.759975464
31929,304,230.8815428,14.66,4.897253114
31959,318.66,229.5111902,11.14,-1.370352606
31990,329.8,222.6011391,-7.97,-6.910051078
32021,321.83,219.5888353,-70.04,-3.012303837
32051,251.79,184.8020125,-21.49,-34.78682279
32082,230.3,187.8847718,16.78,3.082759248
32112,247.08,193.8236362,9.99,5.938864406
32143,257.07,202.9946872,10.75,9.171051041
32174,267.82,209.2395224,-8.93,6.24483518
32203,258.89,208.6362373,2.44,-0.60328504
32234,261.33,208.9483943,0.83,0.312156948
32264,262.16,204.770664,11.34,-4.177730285
32295,273.5,210.2886701,-1.48,5.518006071
32325,272.02,211.325588,-10.5,1.036917871
32356,261.52,208.8531927,10.39,-2.472395263
32387,271.91,208.6402832,7.06,-0.212909539
32417,278.97,206.424564,-5.27,-2.215719122
32448,273.7,201.0769483,4.02,-5.347615765
32478,277.72,203.0683402,19.75,1.991391898
32509,297.47,206.3350902,-8.61,3.266750032
32540,288.86,204.3104141,6.01,-2.024676072
32568,294.87,203.6657263,14.77,-0.644687823
32599,309.64,207.9231573,10.88,4.25743099
32629,320.52,208.8806384,-2.54,0.957481149
32660,317.98,211.377819,28.1,2.497180565
32690,346.08,217.6923509,5.37,6.314531863
32721,351.45,218.3765357,-2.3,0.684184854
32752,349.15,215.0805116,-8.79,-3.296024095
32782,340.36,208.0524154,5.63,-7.02809619
32813,345.99,206.2274999,7.41,-1.824915534
32843,353.4,204.2437027,-24.32,-1.983797186
32874,329.08,194.6598905,2.81,-9.583812228
32905,331.89,191.8883261,8.05,-2.771564406
32933,339.94,192.3089867,-9.14,0.420660659
32964,330.8,187.6012652,30.43,-4.707721495
32994,361.23,186.3222206,-3.21,-1.279044603
33025,358.02,179.3874822,-1.87,-6.934738468
33055,356.15,176.4667749,-33.59,-2.920707254
33086,322.56,162.2638273,-16.51,-14.20294761
33117,306.05,149.5768836,-2.05,-12.68694367
33147,304,143.0718276,18.22,-6.505055992
33178,322.22,152.0769097,8,9.005082044
33208,330.22,150.2119115,13.71,-1.864998223
33239,343.93,165.5485476,23.14,15.33663616
33270,367.07,167.8496724,8.15,2.301124812
33298,375.22,180.779594,0.12,12.92992152
33329,375.34,184.1063,14.49,3.326706088
33359,389.83,185.180216,-18.67,1.073915982
33390,371.16,178.6003889,16.65,-6.579827139
33420,387.81,180.9476653,7.62,2.347276407
33451,395.43,179.0359264,-7.57,-1.911738864
33482,387.86,182.1768086,4.59,3.140882169
33512,392.45,178.8753653,-17.23,-3.301443285
33543,375.22,176.978562,41.87,-1.896803318
33573,417.09,188.4749124,-8.31,11.49635041
33604,408.78,196.5372076,3.92,8.062295206
33635,412.7,190.466187,-9.01,-6.071020585
33664,403.69,186.2010872,11.26,-4.265099803
33695,414.95,184.2465102,0.4,-1.954577019
33725,415.35,191.0820557,-7.21,6.835545528
33756,408.14,187.4235031,16.07,-3.65855258
33786,424.21,194.3379498,-10.18,6.91444662
33817,414.03,193.7518004,3.77,-0.586149376
33848,417.8,196.6365322,0.88,2.884731806
33878,418.68,195.108581,12.67,-1.527951195
33909,431.35,197.9708239,4.36,2.862242883
33939,435.71,200.541871,3.07,2.57104709
33970,438.78,212.1740014,4.6,11.63213041
34001,443.38,222.4014248,8.29,10.22742339
34029,451.67,240.2591472,-11.48,17.8577224
34060,440.19,228.3660791,10,-11.89306804
34090,450.19,223.716089,0.34,-4.649990103
34121,450.53,229.9298034,-2.4,6.213714373
34151,448.13,232.6979283,15.43,2.768124903
34182,463.56,237.28117,-4.63,4.583241666
34213,458.93,247.975456,8.9,10.69428606
34243,467.83,241.9536201,-6.04,-6.021835974
34274,461.79,227.8067129,4.66,-14.14690719
34304,466.45,226.5145978,15.16,-1.292115119
34335,481.61,231.6770473,-14.47,5.162449574
34366,467.14,240.7182673,-21.37,9.04121994
34394,445.77,231.0250217,5.14,-9.693245593
34425,450.91,233.3820545,5.59,2.357032784
34455,456.5,236.9281547,-12.23,3.546100288
34486,444.27,231.3698439,13.99,-5.558310817
34516,458.26,228.6144838,17.23,-2.755360103
34547,475.49,227.8683849,-12.78,-0.746098914
34578,462.71,222.8814853,9.64,-4.986899604
34608,472.35,213.4948628,-18.66,-9.38662255
34639,453.69,204.4624929,5.58,-9.032369858
34669,459.27,218.5502654,11.15,14.08777245
34700,470.42,211.7065321,16.97,-6.843733276
34731,487.39,215.570388,13.32,3.863855917
34759,500.71,213.9146134,14,-1.655774593
34790,514.71,211.972236,18.69,-1.942377397
34820,533.4,219.3668957,11.35,7.394659699
34851,544.75,222.0598285,17.31,2.692932763
34881,562.06,223.8439415,-0.18,1.784113045
34912,561.88,224.9274377,22.53,1.083496229
34943,584.41,228.0305201,-2.91,3.103082399
34973,581.5,221.23994,23.87,-6.790580147
35004,605.37,221.6765946,10.56,0.436654566
35034,615.93,232.8823919,20.09,11.2057973
35065,636.02,235.8965654,4.41,3.01417351
35096,640.43,237.362863,5.07,1.466297666
35125,645.5,235.3798625,8.67,-1.983000567
35156,654.17,234.4275414,14.95,-0.952321032
35186,669.12,238.8023028,1.51,4.374761359
35217,670.63,241.1933774,-30.68,2.391074654
35247,639.95,240.8656656,12.04,-0.327711854
35278,651.99,248.6570822,35.34,7.79141657
35309,687.33,252.399053,17.94,3.741970805
35339,705.27,258.0530174,51.75,5.653964431
35370,757.02,267.5258112,-16.28,9.472793845
35400,740.74,294.2404037,45.42,26.71459246
35431,786.16,295.7426187,4.66,1.502214957
35462,790.82,293.343657,-33.7,-2.398961648
35490,757.12,291.8907593,44.22,-1.452897692
35521,801.34,281.9995593,46.94,-9.891199999
35551,848.28,288.5419491,36.86,6.542389776
35582,885.14,301.583595,69.17,13.04164592
35612,954.31,309.0582177,-54.84,7.474622737
35643,899.47,306.6003705,47.81,-2.457847288
35674,947.28,332.899192,-32.66,26.29882154
35704,914.62,321.7970039,40.78,-11.10218805
35735,955.4,326.9587257,15.03,5.16172177
35765,970.43,333.4665113,9.85,6.507785594
35796,980.28,329.8801377,69.06,-3.586373639
35827,1049.34,322.6919499,52.41,-7.188187721
35855,1101.75,327.6095445,10,4.917594519
35886,1111.75,314.7082929,-20.93,-12.90125162
35916,1090.82,310.8047089,43.02,-3.903583993
35947,1133.84,308.0017581,-13.17,-2.802950801
35977,1120.67,286.1191215,-163.39,-21.88263658
36008,957.28,257.4279582,59.73,-28.69116328
36039,1017.01,270.9976024,81.66,13.56964421
36069,1098.67,264.2641655,64.96,-6.733436888
36100,1163.63,266.7898972,65.6,2.525731634
36130,1229.23,259.0037714,50.41,-7.786125707
36161,1279.64,252.787,-41.31,-6.216771445
36192,1238.33,245.634,48.04,-7.153
36220,1286.37,242.021,48.81,-3.613
36251,1335.18,263.648,-33.34,21.627
